User ID,Username,Role,Action,Timestamp,IP Address
12,sukhesh_029,product owner,Login,2025-01-26 14:50:49,127.0.0.1
12,sukhesh_029,product owner,Logout,2025-01-26 14:53:54,127.0.0.1
13,Bob3,product owner,Login,2025-01-26 13:59:31,127.0.0.1
13,Bob3,product owner,Logout,2025-01-26 14:08:00,127.0.0.1
19,new,product owner,Login,2025-01-26 22:45:08,127.0.0.1
19,new,product owner,Logout,2025-01-26 22:46:45,127.0.0.1
18,aakash,admin,Login,2025-01-26 22:47:04,127.0.0.1
19,new,product owner,Login,2025-01-26 22:47:20,127.0.0.1
19,new,product owner,Login,2025-01-26 22:47:57,127.0.0.1
19,new,product owner,Login,2025-01-26 22:48:08,127.0.0.1
19,new,product owner,Logout,2025-01-26 22:56:25,127.0.0.1
18,aakash,admin,Login,2025-01-26 23:12:02,127.0.0.1
18,aakash,admin,Login,2025-01-26 23:12:23,127.0.0.1
17,Bob3,product owner,Login,2025-01-28 18:13:51,127.0.0.1
17,Bob3,product owner,Login,2025-01-28 18:14:13,127.0.0.1
17,Bob3,product owner,Login,2025-01-28 18:48:17,127.0.0.1
17,Bob3,product owner,Login,2025-01-28 18:48:46,127.0.0.1
17,Bob3,product owner,Login,2025-01-28 19:27:17,127.0.0.1
17,Bob3,product owner,Login,2025-01-28 19:27:32,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 17:55:18,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 17:55:40,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 18:19:08,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 18:19:28,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 20:29:44,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 20:30:06,127.0.0.1
17,Bob3,product owner,Login,2025-01-29 20:38:19,127.0.0.1
20,sukhesh_029,product owner,Login,2025-01-29 20:51:52,127.0.0.1
20,sukhesh_029,product owner,Login,2025-01-29 20:52:08,127.0.0.1
21,Pavan,product owner,Login,2025-01-29 21:27:53,127.0.0.1
21,Pavan,product owner,Login,2025-01-29 21:28:11,127.0.0.1
21,Pavan,product owner,Login,2025-01-29 21:37:52,127.0.0.1
21,Pavan,product owner,Login,2025-01-29 21:38:07,127.0.0.1
22,sukhesh_029,product owner,Login,2025-01-31 18:24:40,127.0.0.1
22,sukhesh_029,product owner,Login,2025-01-31 18:24:57,127.0.0.1
22,sukhesh_029,product owner,Login,2025-01-31 18:52:11,127.0.0.1
22,sukhesh_029,product owner,Login,2025-01-31 18:52:32,127.0.0.1
22,sukhesh_029,product owner,Login,2025-01-31 19:17:16,127.0.0.1
22,sukhesh_029,product owner,Login,2025-01-31 19:17:50,127.0.0.1
